41.001 6378076.535 22328.81138 0 -201.331589 544.3252037 0 0.5792279653 0.4055797877 0.4055797877 0.5792279653 0 0 0 1
42.001 6377870.332 22873.13415 0 -211.0847192 544.3204348 0 0.5792279653 0.4055797877 0.4055797877 0.5792279653 0 0 0 1
43.001 6377654.375 23417.45245 0 -220.8384885 544.3162457 0 0.5792279653 0.4055797877 0.4055797877 0.5792279653 0 0 0 1
44.001 6377428.665 23961.76684 0 -230.5929267 544.3126362 0 0.5792279653 0.4055797877 0.4055797877 0.5792279653 0 0 0 1
45.001 6377193.199 24506.07792 0 -240.3480633 544.3096061 0 0.5792279653 0.4055797877 0.4055797877 0.5792279653 0 0 0 1
46.001 6376947.978 25050.38625 0 -250.1039281 544.3071551 0 0.5792279653 0.4055797877 0.4055797877 0.5792279653 0 0 0 1
47.001 6376693.001 25594.69242 0 -259.8605509 544.3052829 0 0.5792279653 0.4055797877 0.4055797877 0.5792279653 0 0 0 1
48.001 6376428.266 26138.99701 0 -269.6179613 544.3039893 0 0.5792279653 0.4055797877 0.4055797877 0.5792279653 0 0 0 1
49.001 6376153.774 26683.3006 0 -279.3761891 544.3032741 0 0.5792279653 0.4055797877 0.4055797877 0.5792279653 0 0 0 1
50.001 6375869.523 27227.60375 0 -289.1352641 544.3031369 0 0.5792279653 0.4055797877 0.4055797877 0.5792279653 0 0 0 1
51.001 6375575.513 27771.90706 0 -298.8952161 544.3035774 0 0.5792279653 0.4055797877 0.4055797877 0.5792279653 0 0 0 1
52.001 6375271.742 28316.2111 0 -308.6560747 544.3045954 0 0.5792279653 0.4055797877 0.4055797877 0.5792279653 0 0 0 1
53.001 6374958.21 28860.51644 0 -318.41787 544.3061906 0 0.5792279653 0.4055797877 0.4055797877 0.5792279653 0 0 0 1
54.001 6374634.916 29404.82367 0 -328.1806315 544.3083627 0 0.5792279653 0.4055797877 0.4055797877 0.5792279653 0 0 0 1
55.001 6374301.859 29949.13336 0 -337.9443893 544.3111112 0 0.5792279653 0.4055797877 0.4055797877 0.5792279653 0 0 0 1
56.001 6373959.037 30493.44608 0 -347.7091731 544.314436 0 0.5792279653 0.4055797877 0.4055797877 0.5792279653 0 0 0 1
57.001 6373606.45 31037.76242 0 -357.4750129 544.3183366 0 0.5792279653 0.4055797877 0.4055797877 0.5792279653 0 0 0 1
58.001 6373244.096 31582.08294 0 -367.2419384 544.3228128 0 0.5792279653 0.4055797877 0.4055797877 0.5792279653 0 0 0 1
59.001 6372871.975 32126.40823 0 -377.0099797 544.3278641 0 0.5792279653 0.4055797877 0.4055797877 0.5792279653 0 0 0 1
60.001 6372490.086 32670.73886 0 -386.7791666 544.3334902 0 0.5792279653 0.4055797877 0.4055797877 0.5792279653 0 0 0 1
61.001 6372098.426 33215.0754 0 -396.5495291 544.3396908 0 0.5792279653 0.4055797877 0.4055797877 0.5792279653 0 0 0 1
62.001 6371696.996 33759.41842 0 -406.3210972 544.3464655 0 0.5792279653 0.4055797877 0.4055797877 0.5792279653 0 0 0 1
63.001 6371285.793 34303.76851 0 -416.0939008 544.3538138 0 0.5792279653 0.4055797877 0.4055797877 0.5792279653 0 0 0 1
64.001 6370864.817 34848.12624 0 -425.8679699 544.3617354 0 0.5792279653 0.4055797877 0.4055797877 0.5792279653 0 0 0 1
65.001 6370434.067 35392.49217 0 -435.6433347 544.3702299 0 0.5792279653 0.4055797877 0.4055797877 0.5792279653 0 0 0 1
66.001 6369993.54 35936.86688 0 -445.420025 544.3792968 0 0.5792279653 0.4055797877 0.4055797877 0.5792279653 0 0 0 1
67.001 6369543.236 36481.25094 0 -455.198071 544.3889358 0 0.5792279653 0.4055797877 0.4055797877 0.5792279653 0 0 0 1
68.001 6369083.153 37025.64493 0 -464.9775028 544.3991465 0 0.5792279653 0.4055797877 0.4055797877 0.5792279653 0 0 0 1
69.001 6368613.29 37570.04941 0 -474.7583506 544.4099283 0 0.5792279653 0.4055797877 0.4055797877 0.5792279653 0 0 0 1
70.001 6368133.646 38114.46497 0 -484.5406443 544.4212808 0 0.5792279653 0.4055797877 0.4055797877 0.5792279653 0 0 0 1
71.001 6367644.218 38658.89215 0 -494.3244143 544.4332037 0 0.5792279653 0.4055797877 0.4055797877 0.5792279653 0 0 0 1
72.001 6367145.006 39203.33155 0 -504.1096907 544.4456963 0 0.5792279653 0.4055797877 0.4055797877 0.5792279653 0 0 0 1
73.001 6366636.008 39747.78372 0 -513.8965037 544.4587584 0 0.5792279653 0.4055797877 0.4055797877 0.5792279653 0 0 0 1
74.001 6366117.223 40292.24924 0 -523.6848835 544.4723893 0 0.5792279653 0.4055797877 0.4055797877 0.5792279653 0 0 0 1
75.001 6365588.648 40836.72868 0 -533.4748605 544.4865885 0 0.5792279653 0.4055797877 0.4055797877 0.5792279653 0 0 0 1
76.001 6365050.282 41381.2226 0 -543.2664648 544.5013557 0 0.5792279653 0.4055797877 0.4055797877 0.5792279653 0 0 0 1
77 6364502.677 41925.18705 0 -553.0499329 544.5166747 0 0.5792279653 0.4055797877 0.4055797877 0.5792279653 0 0 0 1
78 6363944.735 42469.71162 0 -562.8448814 544.5325756 0 0.5792279653 0.4055797877 0.4055797877 0.5792279653 0 0 0 1
79 6363376.997 43014.25237 0 -572.6415484 544.5490428 0 0.5792279653 0.4055797877 0.4055797877 0.5792279653 0 0 0 1
80 6362799.461 43558.80987 0 -582.4399642 544.5660759 0 0.5792279653 0.4055797877 0.4055797877 0.5792279653 0 0 0 1
81 6362212.126 44103.38469 0 -592.2401593 544.5836742 0 0.5792279653 0.4055797877 0.4055797877 0.5792279653 0 0 0 1
82 6361614.99 44647.97739 0 -602.0421641 544.6018373 0 0.5792279653 0.4055797877 0.4055797877 0.5792279653 0 0 0 1
83 6361008.051 45192.58854 0 -611.8460092 544.6205645 0 0.5792279653 0.4055797877 0.4055797877 0.5792279653 0 0 0 1
84 6360391.307 45737.21869 0 -621.6517251 544.6398554 0 0.5792279653 0.4055797877 0.4055797877 0.5792279653 0 0 0 1
85 6359764.756 46281.86842 0 -631.4593424 544.6597093 0 0.5792279653 0.4055797877 0.4055797877 0.5792279653 0 0 0 1
86 6359128.397 46826.53828 0 -641.2688916 544.6801257 0 0.5792279653 0.4055797877 0.4055797877 0.5792279653 0 0 0 1
87 6358482.228 47371.22883 0 -651.0804033 544.7011039 0 0.5792279653 0.4055797877 0.4055797877 0.5792279653 0 0 0 1
88 6357826.246 47915.94065 0 -660.8939083 544.7226434 0 0.5792279653 0.4055797877 0.4055797877 0.5792279653 0 0 0 1
89 6357160.449 48460.67429 0 -670.7094372 544.7447435 0 0.5792279653 0.4055797877 0.4055797877 0.5792279653 0 0 0 1
90 6356484.836 49005.4303 0 -680.5270207 544.7674037 0 0.5792279653 0.4055797877 0.4055797877 0.5792279653 0 0 0 1
91 6355799.404 49550.20926 0 -690.3466897 544.7906233 0 0.5792279653 0.4055797877 0.4055797877 0.5792279653 0 0 0 1
92 6355104.152 50095.01171 0 -700.1684748 544.8144017 0 0.5792279653 0.4055797877 0.4055797877 0.5792279653 0 0 0 1
93 6354399.076 50639.83822 0 -709.992407 544.8387381 0 0.5792279653 0.4055797877 0.4055797877 0.5792279653 0 0 0 1
94 6353684.176 51184.68935 0 -719.8185172 544.8636321 0 0.5792279653 0.4055797877 0.4055797877 0.5792279653 0 0 0 1
95 6352959.448 51729.56565 0 -729.6468361 544.8890828 0 0.5792279653 0.4055797877 0.4055797877 0.5792279653 0 0 0 1
96 6352224.891 52274.46767 0 -739.4773948 544.9150897 0 0.5792279653 0.4055797877 0.4055797877 0.5792279653 0 0 0 1
97 6351480.503 52819.39599 0 -749.3102243 544.941652 0 0.5792279653 0.4055797877 0.4055797877 0.5792279653 0 0 0 1
98 6350726.28 53364.35114 0 -759.1453556 544.9687691 0 0.5792279653 0.4055797877 0.4055797877 0.5792279653 0 0 0 1
99 6349962.221 53909.33368 0 -768.9828197 544.9964403 0 0.5792279653 0.4055797877 0.4055797877 0.5792279653 0 0 0 1
100 6349188.323 54454.34417 0 -778.8226477 545.0246648 0 0.5792279653 0.4055797877 0.4055797877 0.5792279653 0 0 0 1
100 6349188.323 54454.34417 0 -778.8226477 545.0246648 0 0.5792279653 0.4055797877 0.4055797877 0.5792279653 0 0 0 1
