     2.2 +6378213.520    -9648.411       +0.000    -0.026781   +76.311069    +0.000000 +0.4999122566 +0.5000877280 -0.5000877280 -0.4999122566 +0.00000 +0.00000 -0.00000    1000.000  0.22425 -0.0018637 +3.63860     +83.82
     2.3 +6378213.520    -9640.608       +0.000    -0.026781   +79.743169    +0.000000 +0.4999160333 +0.5000839526 -0.5000839526 -0.4999160333 +0.00000 +0.00000 -0.00000    1000.000  0.23434 -0.0018473 +3.63860     +83.81
     2.4 +6378213.520    -9632.462       +0.000    -0.026781   +83.175269    +0.000000 +0.4999194984 +0.5000804887 -0.5000804887 -0.4999194984 +0.00000 +0.00000 -0.00000    1000.000  0.24442 -0.0018322 +3.63860     +83.79
     2.5 +6378213.520    -9623.973       +0.000    -0.026781   +86.607369    +0.000000 +0.4999226888 +0.5000772993 -0.5000772993 -0.4999226888 +0.00000 +0.00000 -0.00000    1000.000  0.25451 -0.0018181 +3.63860     +83.78
     2.6 +6378213.520    -9615.141       +0.000    -0.026781   +90.039469    +0.000000 +0.4999256359 +0.5000743530 -0.5000743530 -0.4999256359 +0.00000 +0.00000 -0.00000    1000.000  0.26460 -0.0018049 +3.63861     +83.77
     2.7 +6378213.520    -9605.965       +0.000    -0.026781   +93.471569    +0.000000 +0.4999283666 +0.5000716231 -0.5000716231 -0.4999283666 +0.00000 +0.00000 -0.00000    1000.000  0.27468 -0.0017926 +3.63861     +83.75
     2.8 +6378213.520    -9596.446       +0.000    -0.026781   +96.903669    +0.000000 +0.4999309039 +0.5000690866 -0.5000690866 -0.4999309039 +0.00000 +0.00000 -0.00000    1000.000  0.28477 -0.0017809 +3.63861     +83.74
     2.9 +6378213.520    -9586.584       +0.000    -0.026781  +100.335769    +0.000000 +0.4999332675 +0.5000667236 -0.5000667236 -0.4999332675 +0.00000 +0.00000 -0.00000    1000.000  0.29485 -0.0017699 +3.63861     +83.72
     3.0 +6378213.520    -9576.379       +0.000    -0.026781  +103.767869    +0.000000 +0.4999354748 +0.5000645168 -0.5000645168 -0.4999354748 +0.00000 +0.00000 -0.00000    1000.000  0.30494 -0.0017595 +3.63861     +83.71
     3.1 +6378213.520    -9565.831       +0.000    -0.026781  +107.199969    +0.000000 +0.4999375408 +0.5000624514 -0.5000624514 -0.4999375408 +0.00000 +0.00000 -0.00000    1000.000  0.31502 -0.0017496 +3.63861     +83.69
     3.2 +6378213.520    -9554.939       +0.000    -0.026781  +110.632069    +0.000000 +0.4999394786 +0.5000605141 -0.5000605141 -0.4999394786 +0.00000 +0.00000 -0.00000    1000.000  0.32511 -0.0017401 +3.63861     +83.68
     3.3 +6378213.520    -9543.704       +0.000    -0.026781  +114.064169    +0.000000 +0.4999412997 +0.5000586934 -0.5000586934 -0.4999412997 +0.00000 +0.00000 -0.00000    1000.000  0.33520 -0.0017311 +3.63862     +83.66
     3.4 +6378213.520    -9532.126       +0.000    -0.026781  +117.496269    +0.000000 +0.4999430145 +0.5000569790 -0.5000569790 -0.4999430145 +0.00000 +0.00000 -0.00000    1000.000  0.34528 -0.0017224 +3.63862     +83.64
     3.5 +6378213.520    -9520.205       +0.000    -0.026781  +120.928369    +0.000000 +0.4999446319 +0.5000553620 -0.5000553620 -0.4999446319 +0.00000 +0.00000 -0.00000    1000.000  0.35537 -0.0017141 +3.63862     +83.63
     3.6 +6378213.520    -9507.941       +0.000    -0.026781  +124.360469    +0.000000 +0.4999461600 +0.5000538342 -0.5000538342 -0.4999461600 +0.00000 +0.00000 -0.00000    1000.000  0.36545 -0.0017060 +3.63862     +83.61
     3.7 +6378213.520    -9495.333       +0.000    -0.026781  +127.792569    +0.000000 +0.4999476061 +0.5000523885 -0.5000523885 -0.4999476061 +0.00000 +0.00000 -0.00000    1000.000  0.37554 -0.0016983 +3.63862     +83.59
     3.8 +6378213.520    -9482.382       +0.000    -0.026781  +131.224669    +0.000000 +0.4999489765 +0.5000510183 -0.5000510183 -0.4999489765 +0.00000 +0.00000 -0.00000    1000.000  0.38563 -0.0016908 +3.63863     +83.57
     3.9 +6378213.520    -9469.088       +0.000    -0.026781  +134.656769    +0.000000 +0.4999502770 +0.5000497181 -0.5000497181 -0.4999502770 +0.00000 +0.00000 -0.00000    1000.000  0.39571 -0.0016835 +3.63863     +83.55
     4.0 +6378213.520    -9455.451       +0.000    -0.026781  +138.088869    +0.000000 +0.4999515129 +0.5000484824 -0.5000484824 -0.4999515129 +0.00000 +0.00000 -0.00000    1000.000  0.40580 -0.0016764 +3.63863     +83.53
     4.1 +6378213.520    -9441.470       +0.000    -0.026781  +141.520969    +0.000000 +0.4999526888 +0.5000473067 -0.5000473067 -0.4999526888 +0.00000 +0.00000 -0.00000    1000.000  0.41588 -0.0016695 +3.63863     +83.51
     4.2 +6378213.520    -9427.147       +0.000    -0.026781  +144.953069    +0.000000 +0.4999538091 +0.5000461866 -0.5000461866 -0.4999538091 +0.00000 +0.00000 -0.00000    1000.000  0.42597 -0.0016628 +3.63863     +83.49
     4.3 +6378213.520    -9412.480       +0.000    -0.026781  +148.385169    +0.000000 +0.4999548775 +0.5000451184 -0.5000451184 -0.4999548775 +0.00000 +0.00000 -0.00000    1000.000  0.43605 -0.0016562 +3.63864     +83.47
     4.4 +6378213.520    -9397.470       +0.000    -0.026781  +151.817269    +0.000000 +0.4999558976 +0.5000440985 -0.5000440985 -0.4999558976 +0.00000 +0.00000 -0.00000    1000.000  0.44614 -0.0016498 +3.63864     +83.44
     4.5 +6378213.520    -9382.116       +0.000    -0.026781  +155.249369    +0.000000 +0.4999568726 +0.5000431236 -0.5000431236 -0.4999568726 +0.00000 +0.00000 -0.00000    1000.000  0.45623 -0.0016435 +3.63864     +83.42
     4.6 +6378213.520    -9366.420       +0.000    -0.026781  +158.681469    +0.000000 +0.4999578055 +0.5000421910 -0.5000421910 -0.4999578055 +0.00000 +0.00000 -0.00000    1000.000  0.46631 -0.0016373 +3.63864     +83.40
     4.7 +6378213.520    -9350.380       +0.000    -0.026781  +162.113569    +0.000000 +0.4999586988 +0.5000412978 -0.5000412978 -0.4999586988 +0.00000 +0.00000 -0.00000    1000.000  0.47640 -0.0016312 +3.63865     +83.37
     4.8 +6378213.520    -9333.997       +0.000    -0.026781  +165.545669    +0.000000 +0.4999595551 +0.5000404416 -0.5000404416 -0.4999595551 +0.00000 +0.00000 -0.00000    1000.000  0.48648 -0.0016252 +3.63865     +83.35
     4.9 +6378213.520    -9317.271       +0.000    -0.026781  +168.977769    +0.000000 +0.4999603766 +0.5000396202 -0.5000396202 -0.4999603766 +0.00000 +0.00000 -0.00000    1000.000  0.49657 -0.0016193 +3.63865     +83.33
